"Name","Average coverage","Reference length"
"1","114.976","7719"
"2","13.051","1069"
"3","553.362","23320"
"4","19.388","3356"
"5","1437.369","3712"
"6","68.63","2894"
"7","468.754","37104"
"8","30.356","10449"
"9","1951.705","3252"
"10","854.714","13660"
"11","617.305","1601889"
"12","141.56","9975"
"13","36.586","16973"
"14","964.456","51639"
"15","107.937","6453"
"16","1856.908","1076"
"17","231.142","489121"
"18","120.126","14352"
"19","1341.417","1129"
"20","93.465","1341"
"21","25.691","4884"
"22","28.364","2440"
"23","59.527","1097"
"24","1505.455","76323"
"25","104.85","7725"
"26","414.49","71598"
"27","231.745","198956"
"28","243.845","205449"
"29","58.161","19472"
"30","102.756","11557"
"31","529.537","2328"
"32","1576.176","46230"
"33","12.546","3219"
"34","105.989","15404"
"35","54.884","25714"
"36","181.123","91777"
"37","428.735","4968"
"38","1741.13","10326"
"39","416.179","17303"
"40","614.239","678140"
"41","90.514","573109"
"42","18.176","2034"
"43","13.72","1477"
"44","1622.41","72936"
"45","11.822","5969"
"46","174.547","10394"
"47","517.689","1484796"
"48","15.069","1859"
"49","225.443","112062"
"50","69.758","3248"
"51","153.277","3613"
"52","55.738","4145"
"53","17.268","12922"
"54","29.03","26901"
"55","25.774","1711"
"56","795.577","19411"
"57","1621.096","213389"
"58","101.324","5054"
"59","172.666","16104"
"60","76.547","55002"
"61","160.067","3275"
"62","176.212","26569"
"63","7.332","1251"
"64","1477.601","320357"
"65","28.981","10413"
"66","233.374","807116"
"67","562.332","3049334"
"68","10786.23","2446"
"69","227.791","5752"
"70","43.59","45395"
"71","68.599","13094"
"72","1729.615","3457"
"73","148.104","48973"
"74","355.189","1399"
"75","390.758","2335"
"76","31.761","49158"
"77","860.004","56075"
"78","1122.954","1426"
"79","485.277","48752"
"80","24.401","12868"
"81","45.371","18733"
"82","51.509","4540"
"83","170.784","3633"
"84","57.7","6045"
"85","1600.399","21036"
"86","25.507","11677"
"87","32.939","2576"
"88","719.536","84507"
"89","497.727","99990"
"90","536.696","366957"
"91","34.788","1625"
"92","150.182","49786"
"93","24.569","4866"
"94","138.008","3457"
"95","241.19","577988"
"96","570.908","233767"
"97","50.953","56933"
"98","87.745","4694"
"99","1590.522","14005"
"100","414.694","138357"
"101","170.71","23485"
"102","45.848","36634"
"103","96.108","10455"
"104","1941.737","1195"
"105","455.188","2111"
"106","548.82","60763"
"107","1689.18","64020"
"108","542.433","119312"
"109","591.806","33222"
"110","1453.22","103277"
"111","1690.493","80734"
"112","1856.205","2271"
"113","43.986","15610"
"114","714.994","306679"
"115","1431.679","139323"
"116","596.81","20917"
"117","1610.341","71249"
"118","661.446","1886"
"119","413.865","2905"
"120","133.319","7133"
"121","651.926","610283"
"122","906.217","45919"
"123","93.352","4724"
"124","834.712","4770"
"125","851.609","24054"
"126","30.533","17223"
"127","148.669","51873"
"128","97.048","32096"
"129","227.543","148391"
"130","11.625","3258"
"131","12049.158","1673"
"132","18.394","3701"
"133","1155.299","10992"
"134","1624.215","105042"
"135","43.721","60629"
"136","54.777","473686"
"137","97.462","2329"
"138","32.133","2967"
"139","80.784","77643"
"140","607.626","30501"
"141","368.645","51918"
"142","1634.329","42421"
"143","456.786","294960"
"144","1029.586","1220"
"145","1529.77","116668"
"146","1568.901","175870"
"147","36.781","3718"
"148","80.555","1150"
"149","28.03","3347"
"150","17.133","19146"
"151","253.238","71951"
"152","1354.203","2015"
"153","1489.935","77282"
"154","651.45","26168"
"155","2160.036","1434"
"156","229.36","225590"
"157","36.621","11337"
"158","10.617","1312"
"159","63.431","4612"
"160","1193.973","1049"
"161","1920.611","77842"
"162","55.65","5699"
"163","1820.287","1108"
"164","170.618","2021"
"165","37.842","26895"
"166","15.041","1134"
"167","666.392","327526"
"168","136.224","3041"
"169","253.395","4404"
"170","1847.371","1107"
"171","463.319","156224"
"172","1589.965","24648"
"173","25.373","4526"
"174","91.63","2470"
"175","126.144","12089"
"176","35.474","2222"
"177","498.919","4871"
"178","38.103","22899"
"179","1466.236","4757"
"180","18.43","2225"
"181","440.969","194479"
"182","1525.765","90776"
"183","78.547","6938"
"184","66.879","17307"
"185","1541.062","31495"
"186","603.021","6705"
"187","11.108","2533"
"188","79.388","7474"
"189","71.062","19350"
"190","32.61","13019"
"191","247.806","485685"
"192","198.055","14573"
"193","155.725","8938"
"194","17.313","3113"
"195","1523.004","273830"
"196","1051.677","3458"
"197","150.643","6590"
"198","1565.938","1843"
"199","1531.769","206280"
"200","18.487","6228"
"201","621.995","13007"
"202","594.024","16880"
"203","44.776","6079"
"204","604.231","16415"
"205","95.021","15345"
"206","9.124","1283"
"207","2094.065","48578"
"208","251.424","2422"
"209","29.974","5966"
"210","20.049","4681"
"211","35.49","27637"
"212","786.734","10442"
"213","57.212","2711"
"214","51.267","6067"
"215","42.648","1292"
"216","2097.049","2383"
"217","101.672","31742"
"218","13.778","1349"
"219","8.526","1055"
"220","157.419","24109"
"221","53.67","6158"
"222","2447.601","5917"
"223","41.301","1807"
"224","1453.489","2597"
"225","157.197","17151"
"226","165.876","19439"
"227","157.015","76180"
"228","592.656","7598"
"229","68.749","4181"
"230","98.232","2191"
"231","1962.185","1069"
"232","15209.491","2063"
"233","230.532","110595"
"234","92.288","1755"
"235","22.351","5952"
"236","248.854","141409"
"237","252.483","6018"
"238","341.213","5593"
"239","1157.785","1529"
"240","1599.701","44463"
"241","174.61","20052"
"242","1631.177","113116"
"243","240.354","444121"
"244","86.563","238209"
"245","1727.39","2523"
"246","1530.674","1917"
"247","34.628","20483"
"248","9.391","3097"
"249","18.714","52940"
"250","8.239","1804"
"251","36.535","15542"
"252","93.382","5598"
"253","3518.723","204181"
"254","8.514","1246"
