"Name","Average coverage","Reference length"
"1","1.196","7719"
"2","30.327","1069"
"3","50.588","23320"
"4","3.275","3356"
"5","1916.123","3712"
"6","5.593","2894"
"7","37.795","37104"
"8","0.187","10449"
"9","1750.486","3252"
"10","33.496","13660"
"11","11.299","1601889"
"12","26.956","9975"
"13","40.224","16973"
"14","47.6","51639"
"15","29.026","6453"
"16","1430.393","1076"
"17","2.642","489121"
"18","1.631","14352"
"19","965.638","1129"
"20","9.191","1341"
"21","2.263","4884"
"22","8.912","2440"
"23","106.304","1097"
"24","325.876","76323"
"25","6.309","7725"
"26","28.857","71598"
"27","2.838","198956"
"28","21.432","205449"
"29","4.611","19472"
"30","3.803","11557"
"31","98.13","2328"
"32","568.314","46230"
"33","3.732","3219"
"34","1.408","15404"
"35","3.66","25714"
"36","12.569","91777"
"37","108.619","4968"
"38","807.319","10326"
"39","11.156","17303"
"40","11.547","678140"
"41","0.924","573109"
"42","8.383","2034"
"43","4.81","1477"
"44","318.87","72936"
"45","0.025","5969"
"46","9.111","10394"
"47","8.674","1484796"
"48","13.216","1859"
"49","2.814","112062"
"50","0.526","3248"
"51","25.66","3613"
"52","7.108","4145"
"53","2.24","12922"
"54","1.546","26901"
"55","2.378","1711"
"56","33.683","19411"
"57","313.542","213389"
"58","35.368","5054"
"59","23.506","16104"
"60","8.272","55002"
"61","7.476","3275"
"62","6.341","26569"
"63","8.757","1251"
"64","292.18","320357"
"65","10.986","10413"
"66","14.331","807116"
"67","16.203","3049334"
"68","6599.634","2446"
"69","11.872","5752"
"70","6.04","45395"
"71","25.221","13094"
"72","1317.897","3457"
"73","28.615","48973"
"74","30.678","1399"
"75","31.659","2335"
"76","0.303","49158"
"77","41.733","56075"
"78","1466.771","1426"
"79","39.381","48752"
"80","4.13","12868"
"81","3.941","18733"
"82","44.169","4540"
"83","14.388","3633"
"84","15.595","6045"
"85","439.068","21036"
"86","0.146","11677"
"87","27.363","2576"
"88","24.782","84507"
"89","38.39","99990"
"90","9.841","366957"
"91","0.183","1625"
"92","82.324","49786"
"93","0.293","4866"
"94","31.082","3457"
"95","2.892","577988"
"96","9.586","233767"
"97","0.339","56933"
"98","31.586","4694"
"99","417.579","14005"
"100","37.365","138357"
"101","109.633","23485"
"102","0.173","36634"
"103","6.207","10455"
"104","1835.098","1195"
"105","248.93","2111"
"106","46.851","60763"
"107","364.156","64020"
"108","53.134","119312"
"109","114.942","33222"
"110","284.21","103277"
"111","357.031","80734"
"112","1770.595","2271"
"113","1.413","15610"
"114","25.351","306679"
"115","270.938","139323"
"116","77.571","20917"
"117","346.86","71249"
"118","48.295","1886"
"119","44.745","2905"
"120","80.351","7133"
"121","21.774","610283"
"122","43.57","45919"
"123","104.073","4724"
"124","51.572","4770"
"125","43.306","24054"
"126","0.113","17223"
"127","5.198","51873"
"128","2.979","32096"
"129","17.878","148391"
"130","0.593","3258"
"131","4088.399","1673"
"132","0.258","3701"
"133","19156.77","10992"
"134","340.735","105042"
"135","0.185","60629"
"136","1.264","473686"
"137","1.244","2329"
"138","2.133","2967"
"139","0.694","77643"
"140","50.943","30501"
"141","9.19","51918"
"142","323.519","42421"
"143","37.973","294960"
"144","1123.185","1220"
"145","311.51","116668"
"146","316.108","175870"
"147","3.002","3718"
"148","37.246","1150"
"149","1.585","3347"
"150","0.12","19146"
"151","11.491","71951"
"152","1906.066","2015"
"153","293.839","77282"
"154","63.492","26168"
"155","2005.139","1434"
"156","2.286","225590"
"157","0.206","11337"
"158","0.114","1312"
"159","34.848","4612"
"160","1219.82","1049"
"161","511.249","77842"
"162","13.566","5699"
"163","2105.365","1108"
"164","45.214","2021"
"165","0.21","26895"
"166","9.728","1134"
"167","21.221","327526"
"168","25.166","3041"
"169","64.79","4404"
"170","1532.915","1107"
"171","38.513","156224"
"172","358.095","24648"
"173","12.369","4526"
"174","23.631","2470"
"175","1.381","12089"
"176","61.988","2222"
"177","47.852","4871"
"178","0.272","22899"
"179","2169.837","4757"
"180","1.747","2225"
"181","32.784","194479"
"182","299.656","90776"
"183","3.509","6938"
"184","4.506","17307"
"185","365.733","31495"
"186","55.85","6705"
"187","0","2533"
"188","22.417","7474"
"189","32.086","19350"
"190","23.735","13019"
"191","15.468","485685"
"192","13.993","14573"
"193","9.214","8938"
"194","3.11","3113"
"195","296.765","273830"
"196","1109.568","3458"
"197","21.369","6590"
"198","2123.234","1843"
"199","299.94","206280"
"200","0","6228"
"201","53.395","13007"
"202","64.625","16880"
"203","1361.792","6079"
"204","51.825","16415"
"205","4.01","15345"
"206","18.543","1283"
"207","478.171","48578"
"208","8.102","2422"
"209","1.032","5966"
"210","1.152","4681"
"211","0.244","27637"
"212","40.39","10442"
"213","6.198","2711"
"214","31.901","6067"
"215","13.433","1292"
"216","926.616","2383"
"217","6.16","31742"
"218","2.539","1349"
"219","0.067","1055"
"220","49.905","24109"
"221","24.229","6158"
"222","1167.728","5917"
"223","108.231","1807"
"224","1771.75","2597"
"225","93.615","17151"
"226","6.672","19439"
"227","18.945","76180"
"228","48.231","7598"
"229","15.829","4181"
"230","40.713","2191"
"231","1617.123","1069"
"232","2174.79","2063"
"233","3.395","110595"
"234","0.818","1755"
"235","7.861","5952"
"236","13.128","141409"
"237","35.008","6018"
"238","47.745","5593"
"239","954.088","1529"
"240","367.299","44463"
"241","37.307","20052"
"242","341.04","113116"
"243","2.874","444121"
"244","0.784","238209"
"245","1725.153","2523"
"246","2007.583","1917"
"247","0.086","20483"
"248","0","3097"
"249","0.053","52940"
"250","1.184","1804"
"251","13.097","15542"
"252","12.699","5598"
"253","1435.503","204181"
"254","3.364","1246"
"255","25.086","6346"
"256","5.443","121544"
"257","3.206","3705"
"258","0.062","12023"
"259","1178.808","2579"
"260","3.422","116270"
"261","379.779","34503"
"262","5.139","5625"
"263","34.35","13715"
"264","57.369","8961"
"265","11.405","33566"
"266","1.393","1814"
"267","16.65","23157"
"268","2668.43","2406"
"269","8.166","4607"
"270","50.482","3392"
"271","10114.447","5151"
"272","129.747","26687"
"273","1121.33","1326"
"274","1585.621","2475"
"275","14.342","329644"
"276","66.55","7062"
"277","363.264","12878"
"278","1176.892","2526"
"279","417.044","56965"
"280","14.261","8693"
"281","12.306","13249"
"282","8.129","444664"
"283","36.335","3855"
"284","12","15404"
"285","3.28","3399"
"286","0.183","22625"
"287","3.136","392744"
"288","1890.52","1928"
"289","36.103","118383"
"290","1116.289","1180"
"291","19.168","21510"
"292","66.573","8499"
"293","3.584","1192"
"294","7.813","1336"
"295","38.597","10333"
"296","17.038","1504"
"297","0.934","94103"
"298","8.879","29112"
"299","10.471","9244"
"300","0.736","618239"
"301","8.454E-3","58669"
"302","10.403","2424"
"303","1.164","4439"
"304","53.092","77625"
"305","0.088","4858"
"306","38.668","5337"
"307","18.133","690123"
