"cov.day3.b1"	"cov.day3.b2"	"cov.day3.b5"	"cov.day6.b7"	"cov.day6.b8"	"cov.day6.b9"	"cov.day9.b11"	"cov.day9.b12"	"cov.day9.b14"	"cov.day12.b16"	"cov.day12.b17"	"cov.day12.b19"	"cov.day19.b28"	"cov.day19.b32"	"cov.day19.b33"	"unnorm.day3.b1"	"unnorm.day3.b2"	"unnorm.day3.b5"	"unnorm.day6.b7"	"unnorm.day6.b8"	"unnorm.day6.b9"	"unnorm.day9.b11"	"unnorm.day9.b12"	"unnorm.day9.b14"	"unnorm.day12.b16"	"unnorm.day12.b17"	"unnorm.day12.b19"	"unnorm.day19.b28"	"unnorm.day19.b32"	"unnorm.day19.b33"	"unnorm.LG1"	"unnorm.LG2"	"unnorm.LG3"	"functional.category"	"protein.annotation"	"Accession"	"Taxa"	"norm.day3.b1"	"norm.day3.b2"	"norm.day3.b5"	"norm.day6.b7"	"norm.day6.b8"	"norm.day6.b9"	"norm.day9.b11"	"norm.day9.b12"	"norm.day9.b14"	"norm.day12.b16"	"norm.day12.b17"	"norm.day12.b19"	"norm.day19.b28"	"norm.day19.b32"	"norm.day19.b33"	"ave.unnorm.day3"	"ave.unnorm.day6"	"ave.unnorm.day9"	"ave.unnorm.day12"	"ave.unnorm.day19"	"ave.norm.day3"	"ave.norm.day6"	"ave.norm.day9"	"ave.norm.day12"	"ave.norm.day19"
"1-Bacillariophyta_bin11--"	8.33109508	9.425628964	3.290599227	1.552840713	4.227554433	6.334102925	10.52206622	6.056448499	16.44696729	7.210488941	3.951750896	1.848305947	6.08542263	1.525930593	1.293650963	1.0282	2.465	1.03608346	1.4989	1.1929	1.212490678	1.051	0.4538	1.276155114	1.6236	0.6695	0.413145065	1.2132	0.5521	0.539078891	2.0011	0.657	0.586938202	"-"	"kegg:rbcS_ribulose_bisphosphate_carboxylase_small_chain_uniprot:H2EV69_9STRA_Ribulose-1_5-bisphosphate_carboxylase/oxygenase_small_subunit_(TrEMBL)_pfam:RuBisCO_small"	"Bacillariophyta_bin11_NODE_3200_length_6417_cov_9.56534_7"	"Bacillariophyta_bin11"	1.23417148661326	2.6152100930503	3.14861637205387	9.65263202755813	2.82172593849604	1.91422635905462	0.998853246145033	0.749284007079278	0.77592123307494	2.25171970068208	1.6941857359422	2.23526340793622	1.9936166701375	3.61812000187088	4.16711235424636	1.50976115333333	1.301430226	0.926985038	0.902081688333333	0.768126297	2.33266598390581	4.79619477503626	0.841352828766417	2.0603896148535	3.25961634208492
"2-Bacillariophyta_bin11-ribosomal-protein"	8.33109508	9.425628964	3.290599227	1.552840713	4.227554433	6.334102925	10.52206622	6.056448499	16.44696729	7.210488941	3.951750896	1.848305947	6.08542263	1.525930593	1.293650963	0.7666	1.8782	0	1.4759	1.5295	0	1.2356	0.6264	0	1.9111	0.7779	0	0.9406	1.1983	0	1.1436	0.8743	0	"ribosomal-protein"	"kegg:RR14_RR14_ribosomal_protein_14_30S_small_ribosomal_subunit_chloroplast_translation_protein_biosynthesis_uniprot:H2EV32_9STRA_30S_ribosomal_protein_S14_chloroplastic_(TrEMBL)_pfam:Ribosomal_S14"	"Bacillariophyta_bin11_NODE_574_length_39844_cov_13.6538_36"	"Bacillariophyta_bin11"	0.920167148062365	1.99265216907386	0	9.50451638499769	3.61793094385924	0	1.17429407320343	1.03426950646642	0	2.65044439515492	1.96849452425607	0	1.5456609297159	7.85291287491737	0	0.8816	1.0018	0.620666666666667	0.896333333333333	0.712966666666667	0.970939772378742	4.37414910961898	0.736187859889948	1.53964630647033	3.13285793487776
"3-Bacillariophyta_bin2--"	0.368207766	1.191191198	0.343122767	0.261228717	0.179331515	0.483411962	1.322585513	0.149493838	1.570577775	0.432399416	0.119602153	0.050584702	0.072874132	0.047125122	0.049370488	0.8439	2.0008	1.225718498	1.4411	1.3639	1.439171553	1.1761	0.4725	0.999400675	1.8347	0.8387	0.432726234	0.9737	0.6078	0.682	0.8127	0.5821	0.82450074	"-"	"kegg:hypothetical_protein_uniprot:B7GA35_PHATC_Predicted_protein_(TrEMBL)_pfam:PDZ"	"Bacillariophyta_bin2_NODE_24922_length_6803_cov_4.277561_9"	"Bacillariophyta_bin2"	22.9191255026381	16.7966318367641	35.722447353661	55.1662166606285	76.0546744948873	29.7711199997157	8.89243068550079	31.6066539143908	6.36326765161311	42.4306771034122	70.1241557081334	85.5448815335514	133.613941363995	128.975793420758	138.13920575385	1.356806166	1.414723851	0.882666891666667	1.03537541133333	0.7545	25.1460682310211	53.6640037184105	15.6207840838349	66.0332381150323	133.576313512868
"4-Bacillariophyta_bin2--"	0.368207766	1.191191198	0.343122767	0.261228717	0.179331515	0.483411962	1.322585513	0.149493838	1.570577775	0.432399416	0.119602153	0.050584702	0.072874132	0.047125122	0.049370488	0.8609	1.9898	1.578539371	1.159	1.2325	1.17170155	1.1434	0.5801	1.004465699	1.7298	0.9286	0.388814688	0.9863	0.8583	0.6376	0.9413	0.5593	1.062321544	"-"	"kegg:GapC1_glyceraldehyde-3-phosphate_dehydrogenase_precursor_uniprot:B7G5Q1_PHATC_Glyceraldehyde-3-phosphate_dehydrogenase_(TrEMBL)_pfam:DUF5076"	"Bacillariophyta_bin2_NODE_5063_length_19994_cov_4.641315_4"	"Bacillariophyta_bin2"	23.3808213594278	16.7042872994768	46.0050898050726	44.3672507873627	68.727462654849	24.238157970944	8.64518769305467	38.8042749962711	6.39551708287735	40.0046793772728	77.6407428050229	76.8640859048651	135.34294995102	182.132154480152	129.145978868996	1.47641312366667	1.18773385	0.909321899666667	1.01573822933333	0.8274	28.6967328213257	45.7776238043853	17.9483265907344	64.8365026957203	148.873694433389
"5-Bacillariophyta_bin2-photosystem"	0.368207766	1.191191198	0.343122767	0.261228717	0.179331515	0.483411962	1.322585513	0.149493838	1.570577775	0.432399416	0.119602153	0.050584702	0.072874132	0.047125122	0.049370488	2.5456	1.5446	1.631148219	1.217	0.9886	2.448481321	0.9383	0.7984	2.183599949	1.2997	0.8444	0.376750201	1.2534	1.1101	0.770661294	1.8977	0.6505	0.943921924	"photosystem"	"kegg:OEE3_oxygen-evolving_enhancer_protein_3_uniprot:B6ZHE9_9STRA_Extrinsic_protein_in_photosystem_II_(TrEMBL)_pfam:DUF4327"	"Bacillariophyta_bin2_NODE_7621_length_15048_cov_4.745862_2"	"Bacillariophyta_bin2"	69.1348807672894	12.9668520267222	47.5383266829391	46.5875273582575	55.1269530065588	50.6499944864831	7.09443730312507	53.4068835666658	13.9031634329602	30.0578574324439	70.6007357576581	74.4790788725018	171.995187537877	235.564376894345	156.097564601752	1.907116073	1.55136044033333	1.30676664966667	0.840283400333333	1.04472043133333	43.2133531589836	50.7881582837665	24.8014947675837	58.379224020868	187.885709677991
"6-Bacillariophyta_bin3--"	0.385637162	1.319431224	0.358116504	0.256382815	0.179052716	0.518109544	1.429404542	0.144083743	1.733935183	0.471045397	0.105474514	0.032996524	0.053631159	0.027609837	0.029073725	0.7902	1.6519	1.025703192	1.6239	1.0801	1.947584748	1.0804	0.3302	1.467787504	2.3099	0.7534	0.72847873	0.668	0.4719	0.67710638	1.2735	1.488	2.220405102	"-"	"kegg:-_uniprot:-_pfam:dCMP_cyt_deam_1"	"Bacillariophyta_bin3_NODE_1779_length_42106_cov_4.974749_7"	"Bacillariophyta_bin3"	20.4907638024781	12.5197886024865	28.6416063080969	63.3388786217984	60.3230168259497	37.5902117718951	7.55839210142932	22.917228073399	8.46506558255817	49.0377363776681	71.4295777651082	220.774385204939	124.554459097183	170.917343698914	232.892888682135	1.15593439733333	1.55052824933333	0.959462501333333	1.26392624333333	0.605668793333333	20.5507195710205	53.7507024065478	12.9802285857955	113.747233115905	176.121563826077
"7-Bacillariophyta_bin3--"	0.385637162	1.319431224	0.358116504	0.256382815	0.179052716	0.518109544	1.429404542	0.144083743	1.733935183	0.471045397	0.105474514	0.032996524	0.053631159	0.027609837	0.029073725	1.1671	1.8875	1.788667202	0.8861	1.441	1.142163157	0.9222	0.6657	0.807890952	1.7494	0.8095	0.579164326	1.3017	0.8509	0.632010102	0.5535	0.5873	1.101217031	"-"	"kegg:-_uniprot:-_pfam:-"	"Bacillariophyta_bin3_NODE_3929_length_8377_cov_2.16691_5"	"Bacillariophyta_bin3"	30.2641994860443	14.3054064938515	49.9465169022202	34.5615988341496	80.4790919786997	22.0448198692128	6.45163753789164	46.2022977845599	4.65929153477475	37.1386709464014	76.748398195985	175.522829616841	242.713382345513	308.187259490159	217.381880718759	1.61442240066667	1.15642105233333	0.798596984	1.046021442	0.928203367333333	31.5053742940387	45.6951702273541	19.1044089524088	96.4699662530758	256.09417418481
"8-Bacillariophyta_bin3--"	0.385637162	1.319431224	0.358116504	0.256382815	0.179052716	0.518109544	1.429404542	0.144083743	1.733935183	0.471045397	0.105474514	0.032996524	0.053631159	0.027609837	0.029073725	0.9661	2.1766	0.971831083	1.3627	1.5079	1.279842019	1.3008	0.5058	1.26337719	2.0162	0.7363	0.563176692	0.8267	0.4673	0.904774785	1.2014	0.6849	1.300713778	"-"	"kegg:hypothetical_protein_uniprot:A0A1Z5JRY2_FISSO_Light-harvesting_complex_II_chlorophyll_a/b_binding_protein_4_(TrEMBL)_pfam:Chloroa_b-bind"	"Bacillariophyta_bin3_NODE_7312_length_5386_cov_2.12284_1"	"Bacillariophyta_bin3"	25.0520462029539	16.4965021321945	27.1372883445774	53.1509882984942	84.2154217867323	24.7021509991717	9.10029289664871	35.1045849773628	7.28618464165509	42.802668550437	69.808333034841	170.677581674967	154.145466071319	169.251270842345	311.20015925032	1.371510361	1.383480673	1.02332573	1.105225564	0.732924928333333	22.8952788932419	54.0228536947994	17.1636875052222	94.4295277534149	211.532298721328
"9-Bacillariophyta_bin5--"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	1.8392	1.2698	1.282144666	1.4391	1.279	1.40394783	1.0863	0.489	1.094206333	1.3104	0.5353	0.62121594	1.1148	0.4853	0.84341979	1.1131	0.4735	1.082152009	"-"	"kegg:rbcS_ribulose_bisphosphate_carboxylase_small_chain_uniprot:H2EV69_9STRA_Ribulose-1_5-bisphosphate_carboxylase/oxygenase_small_subunit_(TrEMBL)_pfam:RuBisCO_small"	"Bacillariophyta_bin5_NODE_328_length_68850_cov_30.1987_9"	"Bacillariophyta_bin5"	9.83454349480004	4.41411784113229	17.3442505154418	39.6299969881368	21.6246696476654	14.3936990729581	5.36620401611639	5.64644905430604	4.44573208809307	12.6164185946993	11.5143469742007	25.3957156621952	22.1361264311652	14.4612783166908	31.6691203088034	1.46371488866667	1.37401594333333	0.889835444333333	0.822305313333333	0.814506596666667	10.5309706171247	25.2161219029201	5.1527950528385	16.5088270770317	22.7555083522198
"10-Bacillariophyta_bin5-photosystem"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	1.2574	1.5629	0	1.5969	1.3399	0	1.4432	1.0907	0	2.2941	1.2713	0	1.1887	0.7759	0	1.4663	0.8827	0	"photosystem"	"kegg:predicted_protein_uniprot:A0A023HAL0_9STRA_Photosystem_II_CP47_reaction_center_protein_(TrEMBL)_pfam:PSII"	"Bacillariophyta_bin5_NODE_3640_length_25517_cov_8.406459_8"	"Bacillariophyta_bin5"	6.72355099519442	5.43300108198587	0	43.9755000975301	22.6543353095441	0	7.12925125293121	12.5942371851362	0	22.087397663385	27.3457674356462	0	23.6035284254809	23.1207620975074	0	0.9401	0.978933333333333	0.844633333333333	1.18846666666667	0.654866666666667	4.05218402572676	22.2099451356914	6.57449614602247	16.477721699677	15.5747635076628
"11-Bacillariophyta_bin5--"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	0.9535	2.2645	0	1.4305	1.3134	0	1.185	0.5607	0	2.0901	1.0227	0	0.8108	0.6784	0	1.8302	0.9556	0	"-"	"kegg:translation_elongation_factor_Ts_uniprot:A0A023HB48_9STRA_Multifunctional_fusion_protein_(TrEMBL)_pfam:EF_TS"	"Bacillariophyta_bin5_NODE_596_length_45968_cov_13.158_46"	"Bacillariophyta_bin5"	5.09854133443445	7.87192459540405	0	39.3931698224791	22.2062870330287	0	5.85377129623301	6.47436397699263	0	20.1233031935142	21.9983610134786	0	16.0997230986623	20.2153950340882	0	1.07266666666667	0.914633333333333	0.5819	1.0376	0.4964	4.3234886432795	20.5331522851693	4.10937842440855	14.0405547356643	12.1050393775835
"12-Bacillariophyta_bin5-photosystem"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	1.5657	2.7152	0.97621572	1.3522	1.8238	1.26593852	1.3619	0.8481	1.111688972	1.9461	0.793	0.733063519	0.9614	0.745	0.617048621	0.9862	0.6664	0.638280153	"photosystem"	"kegg:predicted_protein_uniprot:PSAC_PHATC_Photosystem_I_iron-sulfur_center_(SwissProt)_pfam:ETF_QO"	"Bacillariophyta_bin5_NODE_674_length_42137_cov_15.8666_2"	"Bacillariophyta_bin5"	8.37208827197065	9.4386618067746	13.2057875010435	37.2369410932934	30.8358659135357	12.9787857585463	6.72763808298712	9.79295182608783	4.51676359910046	18.7368835677231	17.0574951439215	29.9681181568719	19.0901255390404	22.1999842281776	23.1692298977597	1.75237190666667	1.48064617333333	1.10722965733333	1.15738783966667	0.774482873666667	10.3388458599296	27.0171975884585	7.0124511693918	21.9208322895055	21.4864465549926
"13-Bacillariophyta_bin5-photosystem"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	0.9901	1.2521	0	2.2082	0.7855	0	1.3405	0.819	0	1.7207	0.636	0	1.3908	0.9694	0	1.1929	0.7523	0	"photosystem"	"kegg:Photosystem_II_protein_Y_(PsbY)_uniprot:A0A2H4MRS0_9STRA_Photosystem_II_protein_Y_(TrEMBL)_pfam:PsbY"	"Bacillariophyta_bin5_NODE_6802_length_7516_cov_3.14075_1"	"Bacillariophyta_bin5"	5.29424832220613	4.35258855637245	0	60.8095054889887	13.2808272152003	0	6.62192440725768	9.45693614616901	0	16.5667517367972	13.6804122465751	0	27.6165452462007	28.886798269524	0	0.7474	0.9979	0.719833333333333	0.785566666666667	0.786733333333333	3.21561229285953	24.696777568063	5.35962018447556	10.0823879944575	18.8344478385749
"14-Bacillariophyta_bin5-photosystem"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	1.0613	1.2822	0.670575678	0.7616	1.3951	1.310288072	1.6537	0.2853	0.9581002	1.9887	0.84	0.222611666	1.3476	0.4253	0.359756529	0.3578	0.2503	0.421903282	"photosystem"	"kegg:psbK_photosystem_II_reaction_center_protein_K_uniprot:A0A023HCB0_9STRA_Photosystem_II_reaction_center_protein_K_(TrEMBL)_pfam:PsbK"	"Bacillariophyta_bin5_NODE_724_length_20860_cov_3.92495_23"	"Bacillariophyta_bin5"	5.67496792683302	4.45722310277195	9.07123264419076	20.9729731819644	23.5876283232666	13.4334708201048	8.16909839036331	3.29433929487426	3.89273638279005	19.1470327070196	18.0684690049105	9.10051112472028	26.7587405621082	12.6733601238174	13.508306224091	1.00469189266667	1.15566269066667	0.965700066666667	1.01710388866667	0.710885509666667	6.40114122459858	19.3313574417786	5.11872468934254	15.4386709455501	17.6468023033389
"15-Bacillariophyta_bin5--"	1.870142728	2.876678978	0.739233249	0.363134017	0.591454122	0.975390567	2.024336005	0.866031014	2.461251176	1.038646578	0.464898271	0.244614465	0.503611146	0.335585824	0.266322456	0.9806	1.0861	0.881325901	1.3968	0.9966	1.648158073	1.4918	0.5577	1.285882115	1.5836	0.9496	0.466064483	1.2124	0.6726	0.711455703	0.9015	1.44	1.309223294	"-"	"kegg:RBL_ribulose-bisphosphate_carboxylase_large_subunit_or_chain_chloroplast_RuBisCo_uniprot:A0A161V909_9STRA_Ribulose_bisphosphate_carboxylase_large_chain_(Fragment)_(TrEMBL)_pfam:RuBisCO_large"	"Bacillariophyta_bin5_NODE_864_length_68806_cov_16.901950_15"	"Bacillariophyta_bin5"	5.24345006035283	3.77553424732539	11.9221626217735	38.4651377896112	16.8499966934037	16.8974165709765	7.3693299744476	6.43972318524842	5.2245058429583	15.2467647180753	20.4259740084084	19.0530221914718	24.0741296063372	20.0425629421105	26.7140711183589	0.982675300333333	1.34718602433333	1.11179403833333	0.999754827666667	0.865485234333333	6.98038230981725	24.0708503513305	6.34451966755144	18.2419203059851	23.6102545556022
