contig,count.0.3.km,count.0.5.km,count.0.6.km,count.0.7.km,count.0.9.km,count.1.1.km,count.2.7.km,count.10.1.km,count.15.1.km,count.33.9.km,coverage.0.3.km,coverage.0.5.km,coverage.0.6.km,coverage.0.7.km,coverage.0.9.km,coverage.1.1.km,coverage.2.7.km,coverage.10.1.km,coverage.15.1.km,coverage.33.9.km,dataset.order,bin.number,lineage,annotation.1,annotation.2,hypothetical,gene.length,gc.gene,gc.contig,core.gene.percent
bin15;contig-1001-gene-8;Gammaproteobacteria-Cellvibrionales;Protein_of_unknown_function_(DUF1329);-,2,1,9,0,4,9,0,15,2,0,18.67457143,22.29342857,31.28142857,16.14228571,20.66714286,34.17,8.015714286,22.76914286,10.13142857,4.318857143,1,bin15,Gammaproteobacteria-Cellvibrionales,Protein_of_unknown_function_(DUF1329),-,known,1335,49.4,49.4,80
bin8;contig-1002-gene-2;Gammaproteobacteria-Cycloclasticus;Outer_membrane_protein_and_related_peptidoglycan-associated_(lipo)proteins;-,0,11,0,1,0,0,4,0,0,0,17.87826639,64.39166783,7.337478507,7.371782254,8.128347729,3.436753822,15.43006671,2.199166241,2.023381141,1.46105091,2,bin8,Gammaproteobacteria-Cycloclasticus,Outer_membrane_protein_and_related_peptidoglycan-associated_(lipo)proteins,-,known,765,43,42.9,50
bin12;contig-10030-gene-2;Gammaproteobacteria-Cellvibrionales;-;-,6,1,20,2,13,3,2,18,6,0,81.35352113,216.2075117,82.18309859,71.33333333,120.4286385,57.46807512,53.85821596,51.27652582,47.48967136,27.62910798,3,bin12,Gammaproteobacteria-Cellvibrionales,-,-,hypothetical,318,51.6,51.9,13
bin25;contig-1007-gene-8;Gammaproteobacteria;Outer_membrane_receptor_proteins_mostly_Fe_transport;-,2,4,2,9,10,1,1,0,0,0,28.70396825,66.12275132,29.01111111,40.04656085,30.34338624,4.145767196,10.52037037,2.580952381,2.694179894,1.683597884,4,bin25,Gammaproteobacteria,Outer_membrane_receptor_proteins_mostly_Fe_transport,-,known,2253,40.3,40.3,49
bin1;contig-10092-gene-1;Gammaproteobacteria-Thiotrichaceae;Subtilisin-like_serine_proteases;-,0,5,0,22,5,0,10,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,5,bin1,Gammaproteobacteria-Thiotrichaceae,Subtilisin-like_serine_proteases,-,known,3603,34.3,34.3,83
bin19;contig-10095-gene-4;Gammaproteobacteria;Electron_transfer_flavoprotein_alpha_subunit;-,10,1,2,0,4,7,3,14,5,14,10.8125,11.05654762,8.151190476,11.77053571,17.84017857,6.799702381,8.053869048,5.895535714,6.579464286,6.4875,6,bin19,Gammaproteobacteria,Electron_transfer_flavoprotein_alpha_subunit,-,known,930,48.7,48.8,48
bin8;contig-10123-gene-1;Gammaproteobacteria-Cycloclasticus;Ribosomal_protein_L20;-,17,2,2,0,2,0,3,0,2,0,17.87826639,64.39166783,7.337478507,7.371782254,8.128347729,3.436753822,15.43006671,2.199166241,2.023381141,1.46105091,7,bin8,Gammaproteobacteria-Cycloclasticus,Ribosomal_protein_L20,-,known,354,42.1,42.1,50
bin7;contig-1013-gene-6;Gammaproteobacteria-Colwellia;ABC-type_sugar_transport_system_periplasmic_component;-,0,0,0,0,0,0,0,0,1,15,15.44551251,46.31566655,18.25419056,27.30076461,44.37321012,13.7656784,16.33658173,19.61135073,27.18083706,30.34738124,8,bin7,Gammaproteobacteria-Colwellia,ABC-type_sugar_transport_system_periplasmic_component,-,known,1731,40.8,40.8,57
bin14;contig-1014-gene-4;Gammaproteobacteria-Cellvibrionales;Bacterial_protein_of_unknown_function_(Gcw_chp);-,2,0,0,0,14,0,2,1,2,0,22.66167247,29.27665505,15.42439024,25.428223,44.62264808,7.624738676,13.93554007,9.600696864,10.77909408,5.391637631,9,bin14,Gammaproteobacteria-Cellvibrionales,Bacterial_protein_of_unknown_function_(Gcw_chp),-,known,804,47.8,47.8,82
bin5;contig-1015-gene-1;Gammaproteobacteria;Molecular_chaperone;-,14,14,3,3,3,9,8,4,3,3,10.29664851,50.56987817,4.938925679,7.611534822,7.229273644,2.298996531,8.99025149,2.784062194,2.888639014,2.243102853,10,bin5,Gammaproteobacteria,Molecular_chaperone,-,known,1899,41,41,53
