bin.function,cov-day3-b1,cov-day3-b2,cov-day3-b5,cov-day6-b7,cov-day6-b8,cov-day6-b9,cov-day9-b11,cov-day9-b12,cov-day9-b14,cov-day12-b16,cov-day12-b17,cov-day12-b19,cov-day19-b28,cov-day19-b32,cov-day19-b33,unnorm-day3-b1,unnorm-day3-b2,unnorm-day3-b5,unnorm-day6-b7,unnorm-day6-b8,unnorm-day6-b9,unnorm-day9-b11,unnorm-day9-b12,unnorm-day9-b14,unnorm-day12-b16,unnorm-day12-b17,unnorm-day12-b19,unnorm-day19-b28,unnorm-day19-b32,unnorm-day19-b33,unnorm-LG1,unnorm-LG2,unnorm-LG3,functional-category,protein.annotation,Accession,Taxa
1-Bacillariophyta_bin11--,8.33109508,9.425628964,3.290599227,1.552840713,4.227554433,6.334102925,10.52206622,6.056448499,16.44696729,7.210488941,3.951750896,1.848305947,6.08542263,1.525930593,1.293650963,1.0282,2.465,1.03608346,1.4989,1.1929,1.212490678,1.051,0.4538,1.276155114,1.6236,0.6695,0.413145065,1.2132,0.5521,0.539078891,2.0011,0.657,0.586938202,-,kegg:rbcS_ribulose_bisphosphate_carboxylase_small_chain_uniprot:H2EV69_9STRA_Ribulose-1_5-bisphosphate_carboxylase/oxygenase_small_subunit_(TrEMBL)_pfam:RuBisCO_small,Bacillariophyta_bin11_NODE_3200_length_6417_cov_9.56534_7,Bacillariophyta_bin11
2-Bacillariophyta_bin11-ribosomal-protein,8.33109508,9.425628964,3.290599227,1.552840713,4.227554433,6.334102925,10.52206622,6.056448499,16.44696729,7.210488941,3.951750896,1.848305947,6.08542263,1.525930593,1.293650963,0.7666,1.8782,0,1.4759,1.5295,0,1.2356,0.6264,0,1.9111,0.7779,0,0.9406,1.1983,0,1.1436,0.8743,0,ribosomal-protein,kegg:RR14_RR14_ribosomal_protein_14_30S_small_ribosomal_subunit_chloroplast_translation_protein_biosynthesis_uniprot:H2EV32_9STRA_30S_ribosomal_protein_S14_chloroplastic_(TrEMBL)_pfam:Ribosomal_S14,Bacillariophyta_bin11_NODE_574_length_39844_cov_13.6538_36,Bacillariophyta_bin11
3-Bacillariophyta_bin2--,0.368207766,1.191191198,0.343122767,0.261228717,0.179331515,0.483411962,1.322585513,0.149493838,1.570577775,0.432399416,0.119602153,0.050584702,0.072874132,0.047125122,0.049370488,0.8439,2.0008,1.225718498,1.4411,1.3639,1.439171553,1.1761,0.4725,0.999400675,1.8347,0.8387,0.432726234,0.9737,0.6078,0.682,0.8127,0.5821,0.82450074,-,kegg:hypothetical_protein_uniprot:B7GA35_PHATC_Predicted_protein_(TrEMBL)_pfam:PDZ,Bacillariophyta_bin2_NODE_24922_length_6803_cov_4.277561_9,Bacillariophyta_bin2
4-Bacillariophyta_bin2--,0.368207766,1.191191198,0.343122767,0.261228717,0.179331515,0.483411962,1.322585513,0.149493838,1.570577775,0.432399416,0.119602153,0.050584702,0.072874132,0.047125122,0.049370488,0.8609,1.9898,1.578539371,1.159,1.2325,1.17170155,1.1434,0.5801,1.004465699,1.7298,0.9286,0.388814688,0.9863,0.8583,0.6376,0.9413,0.5593,1.062321544,-,kegg:GapC1_glyceraldehyde-3-phosphate_dehydrogenase_precursor_uniprot:B7G5Q1_PHATC_Glyceraldehyde-3-phosphate_dehydrogenase_(TrEMBL)_pfam:DUF5076,Bacillariophyta_bin2_NODE_5063_length_19994_cov_4.641315_4,Bacillariophyta_bin2
5-Bacillariophyta_bin2-photosystem,0.368207766,1.191191198,0.343122767,0.261228717,0.179331515,0.483411962,1.322585513,0.149493838,1.570577775,0.432399416,0.119602153,0.050584702,0.072874132,0.047125122,0.049370488,2.5456,1.5446,1.631148219,1.217,0.9886,2.448481321,0.9383,0.7984,2.183599949,1.2997,0.8444,0.376750201,1.2534,1.1101,0.770661294,1.8977,0.6505,0.943921924,photosystem,kegg:OEE3_oxygen-evolving_enhancer_protein_3_uniprot:B6ZHE9_9STRA_Extrinsic_protein_in_photosystem_II_(TrEMBL)_pfam:DUF4327,Bacillariophyta_bin2_NODE_7621_length_15048_cov_4.745862_2,Bacillariophyta_bin2
6-Bacillariophyta_bin3--,0.385637162,1.319431224,0.358116504,0.256382815,0.179052716,0.518109544,1.429404542,0.144083743,1.733935183,0.471045397,0.105474514,0.032996524,0.053631159,0.027609837,0.029073725,0.7902,1.6519,1.025703192,1.6239,1.0801,1.947584748,1.0804,0.3302,1.467787504,2.3099,0.7534,0.72847873,0.668,0.4719,0.67710638,1.2735,1.488,2.220405102,-,kegg:-_uniprot:-_pfam:dCMP_cyt_deam_1,Bacillariophyta_bin3_NODE_1779_length_42106_cov_4.974749_7,Bacillariophyta_bin3
7-Bacillariophyta_bin3--,0.385637162,1.319431224,0.358116504,0.256382815,0.179052716,0.518109544,1.429404542,0.144083743,1.733935183,0.471045397,0.105474514,0.032996524,0.053631159,0.027609837,0.029073725,1.1671,1.8875,1.788667202,0.8861,1.441,1.142163157,0.9222,0.6657,0.807890952,1.7494,0.8095,0.579164326,1.3017,0.8509,0.632010102,0.5535,0.5873,1.101217031,-,kegg:-_uniprot:-_pfam:-,Bacillariophyta_bin3_NODE_3929_length_8377_cov_2.16691_5,Bacillariophyta_bin3
8-Bacillariophyta_bin3--,0.385637162,1.319431224,0.358116504,0.256382815,0.179052716,0.518109544,1.429404542,0.144083743,1.733935183,0.471045397,0.105474514,0.032996524,0.053631159,0.027609837,0.029073725,0.9661,2.1766,0.971831083,1.3627,1.5079,1.279842019,1.3008,0.5058,1.26337719,2.0162,0.7363,0.563176692,0.8267,0.4673,0.904774785,1.2014,0.6849,1.300713778,-,kegg:hypothetical_protein_uniprot:A0A1Z5JRY2_FISSO_Light-harvesting_complex_II_chlorophyll_a/b_binding_protein_4_(TrEMBL)_pfam:Chloroa_b-bind,Bacillariophyta_bin3_NODE_7312_length_5386_cov_2.12284_1,Bacillariophyta_bin3
9-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.8392,1.2698,1.282144666,1.4391,1.279,1.40394783,1.0863,0.489,1.094206333,1.3104,0.5353,0.62121594,1.1148,0.4853,0.84341979,1.1131,0.4735,1.082152009,-,kegg:rbcS_ribulose_bisphosphate_carboxylase_small_chain_uniprot:H2EV69_9STRA_Ribulose-1_5-bisphosphate_carboxylase/oxygenase_small_subunit_(TrEMBL)_pfam:RuBisCO_small,Bacillariophyta_bin5_NODE_328_length_68850_cov_30.1987_9,Bacillariophyta_bin5
10-Bacillariophyta_bin5-photosystem,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.2574,1.5629,0,1.5969,1.3399,0,1.4432,1.0907,0,2.2941,1.2713,0,1.1887,0.7759,0,1.4663,0.8827,0,photosystem,kegg:predicted_protein_uniprot:A0A023HAL0_9STRA_Photosystem_II_CP47_reaction_center_protein_(TrEMBL)_pfam:PSII,Bacillariophyta_bin5_NODE_3640_length_25517_cov_8.406459_8,Bacillariophyta_bin5
